000000	Officially Xerox
000010	Hughes
000020	DIAB
000030	VG LABORATORY SYSTEMS LTD
000040	APPLICON, INC.
000050	RADISYS CORPORATION
000060	KONTRON ELEKTRONIK GMBH
000070	HCL LIMITED
000080	Cray Communications (formerly Dowty Network Services)	[Also shows as "Harris (3M) (new)" and/or "Imagen(?)" elsewhere]
000090	Microcom
0000A0	Sanyo Electronics
0000B0	RND (RAD Network Devices)
0000C0	Western Digital now SMC (Std. Microsystems Corp.)
0000D0	Develcon Electronics, Ltd.
0000E0	QUADRAM CORP.
0000F0	Samsung
000100	EQUIP'TRANS
000110	Gotham Networks
000120	OSCILLOQUARTZ S.A.
000130	Extreme Networks
000140	Sendtek Corporation
000150	Megahertz (now 3com) modem
000160	ELMEX Co., LTD.
000170	ESE Embedded System Engineer'g
000180	AOpen, Inc.
000190	Smk-M
0001A0	Infinilink Corporation
0001B0	Fulltek Technology Co., Ltd.
0001C0	CompuLab, Ltd.
0001D0	VitalPoint, Inc.
0001E0	Fast Systems, Inc.
0001F0	Tridium, Inc.
000200	Net & Sys Co., Ltd.
000210	Fenecom
000220	CANON FINETECH INC.
000230	Intersoft Electronics
000240	Seedek Co., Ltd.
000250	Geyser Networks, Inc.
000260	Accordion Networks, Inc.
000270	Crewave Co., Ltd.
000280	Mu Net, Inc.
000290	Woorigisool, Inc.
0002A0	Flatstack Ltd.
0002B0	Hokubu Communication & Industrial Co., Ltd.
0002C0	Bencent Tzeng Industry Co., Ltd.
0002D0	Comdial Corporation
0002E0	ETAS GmbH
0002F0	AME Optimedia Technology Co., Ltd.
000300	Barracuda Networks, Inc.
000310	E-Globaledge Corporation
000320	Xpeed, Inc.
000330	Imagenics, Co., Ltd.
000340	Floware Wireless Systems, Ltd.
000350	BTICINO SPA
000360	PAC Interactive Technology, Inc.
000370	NXTV, Inc.
000380	SSH Communications Security Corp.
000390	Digital Video Communications, Inc.
0003A0	Cisco Systems, Inc
0003B0	Xsense Technology Corp.
0003C0	RFTNC Co., Ltd.
0003D0	KOANKEISO Co., Ltd.
0003E0	ARRIS Group, Inc.
0003F0	Redfern Broadband Networks
000400	Lexmark (Print Server)
000410	Spinnaker Networks, Inc.
000420	Slim Devices, Inc.
000430	Netgem
000440	cyberPIXIE, Inc.
000450	DMD Computers SRL
000460	Knilink Technology, Inc.
000470	ipUnplugged AB
000480	Brocade Communications Systems, Inc.
000490	Optical Access
0004A0	Verity Instruments, Inc.
0004B0	ELESIGN Co., Ltd.
0004C0	Cisco Systems, Inc
0004D0	Softlink s.r.o.
0004E0	Procket Networks
0004F0	International Computers, Ltd
000500	Cisco Systems, Inc
000510	Infinite Shanghai Communication Terminals Ltd.
000520	Smartronix, Inc.
000530	Andiamo Systems, Inc.
000540	FAST Corporation
000550	Vcomms Connect Limited
000560	LEADER COMM.CO., LTD
000570	Baydel Ltd.
000580	FibroLAN Ltd.
000590	Swissvoice Ltd.
0005A0	MOBILINE Kft.
0005B0	Korea Computer Technology Co., Ltd.
0005C0	Digital Network Alacarte Co., Ltd.
0005D0	Solinet Systems
0005E0	Empirix Corp.
0005F0	Satec
000600	Toshiba Teli Corporation
000610	Abeona Networks Inc
000620	Serial System Ltd.
000630	Adtranz Sweden
000640	White Rock Networks
000650	Tiburon Networks, Inc.
000660	NADEX Co., Ltd.
000670	Upponetti Oy
000680	Card Access, Inc.
000690	Euracom Communication GmbH
0006A0	Mx Imaging
0006B0	Comtech EF Data Corp.
0006C0	United Internetworks, Inc.
0006D0	Elgar Electronics Corp.
0006E0	MAT Co., Ltd.
0006F0	Digeo, Inc.
000700	Zettamedia Korea
000710	Adax, Inc.
000720	Trutzschler GmbH & Co. KG
000730	Hutchison OPTEL Telecom Technology Co., Ltd.
000740	BUFFALO.INC
000750	Cisco Systems, Inc
000760	TOMIS Information & Telecom Corp.
000770	Ubiquoss Inc
000780	Bluegiga Technologies OY
000790	Tri-M Technologies (s) Limited
0007A0	e-Watch Inc.
0007B0	Office Details, Inc.
0007C0	NetZerver Inc.
0007D0	Automat Engenharia de Automação Ltda.
0007E0	Palm Inc.
0007F0	LogiSync LLC
000800	MULTITECH SYSTEMS, INC.
000810	Key Technology, Inc.
000820	Cisco Systems, Inc
000830	Cisco Systems, Inc
000850	Arizona Instrument Corp.
000860	LodgeNet Entertainment Corp.
000870	Rasvia Systems, Inc.
000880	BroadTel Canada Communications inc.
000890	AVILINKS SA
0008A0	Stotz Feinmesstechnik GmbH
0008B0	BKtel communications GmbH
0008C0	ASA SYSTEMS
0008D0	Musashi Engineering Co., LTD.
0008E0	ATO Technology Ltd.
0008F0	Next Generation Systems, Inc.
000900	Tmt
000910	Simple Access Inc.
000920	EpoX COMPUTER CO.,LTD.
000930	AeroConcierge Inc.
000940	AGFEO GmbH & Co. KG
000950	Independent Storage Corporation
000960	YOZAN Inc.
000970	Vibration Research Corporation
000980	Power Zenith Inc.
000990	ACKSYS Communications & systems
0009A0	Microtechno Corporation
0009B0	Onkyo Corporation
0009C0	6wind
0009D0	Solacom Technologies Inc.
0009E0	XEMICS S.A.
0009F0	Shimizu Technology Inc.
000A00	Mediatek Corp.
000A10	FAST media integrations AG
000A20	SVA Networks, Inc.
000A30	Visteon Corporation
000A40	Crown Audio -- Harmanm International
000A50	REMOTEK CORPORATION
000A60	Autostar Technology Pte Ltd
000A70	MPLS Forum
000A80	Telkonet Inc.
000A90	Bayside Interactive, Inc.
000AA0	Cedar Point Communications
000AB0	LOYTEC electronics GmbH
000AC0	Fuyoh Video Industry CO., LTD.
000AD0	Niigata Develoment Center,  F.I.T. Co., Ltd.
000AE0	Fujitsu Softek
000AF0	SHIN-OH ELECTRONICS CO., LTD. R&D
000B00	FUJIAN START COMPUTER EQUIPMENT CO.,LTD
000B10	11wave Technonlogy Co.,Ltd
000B20	Hirata corporation
000B30	Beijing Gongye Science & Technology Co.,Ltd
000B40	Oclaro
000B50	Oxygnet
000B60	Cisco Systems, Inc
000B70	Load Technology, Inc.
000B80	Lycium Networks
000B90	ADVA Optical Networking Ltd.
000BA0	T&L Information Inc.
000BB0	Sysnet Telematica srl
000BC0	China IWNComm Co., Ltd.
000BD0	XiMeta Technology Americas Inc.
000BE0	SercoNet Ltd.
000BF0	MoTEX Products Co., Ltd.
000C00	BEB Industrie-Elektronik AG
000C10	PNI Corporation
000C20	Fi WIn, Inc.
000C30	Cisco Systems, Inc
000C40	Altech Controls
000C50	Seagate Technology
000C60	ACM Systems
000C70	ACC GmbH
000C80	Opelcomm Inc.
000C90	Octasic Inc.
000CA0	StorCase Technology, Inc.
000CB0	Star Semiconductor Corporation
000CC0	Genera Oy
000CD0	Symetrix
000CE0	Trek Diagnostics Inc.
000CF0	M & N GmbH
000D00	Seaway Networks Inc.
000D10	Embedtronics Oy
000D20	ASAHIKASEI TECHNOSYSTEM CO.,LTD.
000D30	IceFyre Semiconductor
000D40	Verint Loronix Video Solutions
000D50	Galazar Networks
000D60	IBM Corp
000D70	Datamax Corporation
000D80	Online Development Inc
000D90	Factum Electronics AB
000DA0	NEDAP N.V.
000DB0	Olym-tech Co.,Ltd.
000DC0	Spagat AS
000DD0	TetraTec Instruments GmbH
000DE0	ICPDAS Co.,LTD
000DF0	QCOM TECHNOLOGY INC.
000E00	Atrie
000E10	C-guys, Inc.
000E20	ACCESS Systems Americas, Inc.
000E30	AERAS Networks, Inc.
000E40	Nortel Networks
000E50	Thomson Telecom Belgium
000E60	360SUN Digital Broadband Corporation
000E70	in2 Networks
000E80	Thomson Technology Inc
000E90	PONICO CORP.
000EA0	NetKlass Technology Inc.
000EB0	Solutions Radio BV
000EC0	Nortel Networks
000ED0	Privaris, Inc.
000EE0	Mcharge
000EF0	Festo AG & Co. KG
000F00	Legra Systems, Inc.
000F10	RDM Corporation
000F20	Hewlett Packard
000F30	Raza Microelectronics Inc
000F40	Optical Internetworking Forum
000F50	StreamScale Limited
000F60	Lifetron Co.,Ltd
000F70	Wintec Industries, inc.
000F80	Trinity Security Systems,Inc.
000F90	Cisco Systems, Inc
000FA0	CANON KOREA BUSINESS SOLUTIONS INC.
000FB0	COMPAL ELECTRONICS, INC.
000FC0	Delcomp
000FD0	Astri
000FE0	NComputing Co.,Ltd.
000FF0	Sunray Co. Ltd.
001000	CableLabs
001010	INITIO CORPORATION
001020	Hand Held Products Inc
001030	EION Inc.
001040	INTERMEC CORPORATION
001050	RION CO., LTD.
001060	Billington			Novell NE200 Compatible
001070	CARADON TREND LTD.
001080	METAWAVE COMMUNICATIONS
001090	CIMETRICS, INC.
0010A0	INNOVEX TECHNOLOGIES, INC.
0010B0	MERIDIAN TECHNOLOGY CORP.
0010C0	ARMA, Inc.
0010D0	WITCOM, LTD.
0010E0	Oracle Corporation
0010F0	RITTAL-WERK RUDOLF LOH GmbH & Co.
001100	Schneider Electric
001110	Maxanna Technology Co., Ltd.
001120	Cisco Systems, Inc
