000001	SuperLAN-2U
000011	Tektrnix
000021	SC&C
000031	QPSX COMMUNICATIONS, LTD.
000041	ICE CORPORATION
000051	Hob Electronic Gmbh & Co. KG
000061	Gateway Communications
000071	ADRA SYSTEMS INC.
000081	Synoptics
000091	ANRITSU CORPORATION
0000A1	MARQUETTE ELECTRIC CO.
0000B1	Alpha Microsystems Inc.
0000C1	Olicom A/S
0000D1	Adaptec, Inc.			"Nodem" product
0000E1	Hitachi
0000F1	MAGNA COMPUTER CORPORATION
000101	Private
000111	iDigm Inc.
000121	Watchguard Technologies, Inc.
000131	Bosch Security Systems, Inc.
000141	CABLE PRINT
000151	Ensemble Communications
000161	Meta Machine Technology
000171	Allied Data Technologies
000181	Nortel Networks
000191	SYRED Data Systems
0001A1	Mag-Tek, Inc.
0001B1	General Bandwidth
0001C1	Vitesse Semiconductor Corporation
0001D1	CoNet Communications, Inc.
0001E1	Kinpo Electronics, Inc.
0001F1	Innovative Concepts, Inc.
000201	IFM Electronic gmbh
000211	Nature Worldwide Technology Corp.
000221	DSP Application, Ltd.
000231	Axis
000241	Amer.com
000251	Soma Networks, Inc.
000261	Tilgin AB
000271	Zhone Technologies
000281	Madge Ltd.
000291	Open Network Co., Ltd.
0002A1	World Wide Packets
0002B1	Anritsu, Ltd.
0002C1	Innovative Electronic Designs, Inc.
0002D1	Vivotek, Inc.
0002E1	Integrated Network Corporation
0002F1	Pinetron Co., Ltd.
000301	Exfo
000311	Micro Technology Co., Ltd.
000321	Reco Research Co., Ltd.
000331	Cisco Systems, Inc
000341	Axon Digital Design
000351	Diebold, Inc.
000361	Widcomm, Inc.
000371	Acomz Networks Corp.
000381	Ingenico International
000391	Advanced Digital Broadcast, Ltd.
0003A1	HIPER Information & Communication, Inc.
0003B1	Hospira Inc.
0003C1	Packet Dynamics Ltd
0003D1	Takaya Corporation
0003E1	Winmate Communication, Inc.
0003F1	Cicada Semiconductor, Inc.
000401	Osaki Electric Co., Ltd.
000411	Inkra Networks, Inc.
000421	Ocular Networks
000431	GlobalStreams, Inc.
000441	Half Dome Systems, Inc.
000451	Medrad, Inc.
000461	EPOX Computer Co., Ltd.
000471	Iprad
000481	Econolite Control Products, Inc.
000491	Technovision, Inc.
0004A1	Pathway Connectivity
0004B1	Signal Technology, Inc.
0004C1	Cisco Systems, Inc
0004D1	Drew Technologies, Inc.
0004E1	Infinior Microsystems
0004F1	Wherenet
000501	Cisco Systems, Inc
000511	Complementary Technologies Ltd
000521	Control Microsystems
000531	Cisco Systems, Inc
000541	Advanced Systems Co., Ltd.
000551	F & S Elektronik Systeme GmbH
000561	nac Image Technology, Inc.
000571	Seiwa Electronics Co.
000581	Snell
000591	Active Silicon Ltd
0005A1	Zenocom
0005B1	ASB Technology BV
0005C1	A-Kyung Motion, Inc.
0005D1	Metavector Technologies
0005E1	Trellis Photonics, Ltd.
0005F1	Vrcom, Inc.
000601	Otanikeiki Co., Ltd.
000611	Zeus Wireless, Inc.
000621	Hinox, Co., Ltd.
000631	Calix Inc.
000641	Itcn
000651	Aspen Networks Inc.
000661	NIA Home Technologies Corp.
000671	Softing AG
000681	Goepel Electronic GmbH
000691	PT Inovacao
0006A1	Celsian Technologies, Inc.
0006B1	Sonicwall
0006C1	Cisco
0006D1	Tahoe Networks, Inc.
0006E1	Techno Trade s.a
0006F1	Optillion
000701	RACAL-DATACOM
000711	Acterna
000721	Formac Elektronik GmbH
000731	Ophir-Spiricon LLC
000741	Sierra Automated Systems
000751	m-u-t AG
000761	29530
000771	Embedded System Corporation
000781	Itron Inc.
000791	International Data Communications, Inc.
0007A1	VIASYS Healthcare GmbH
0007B1	Equator Technologies
0007C1	Overture Networks, Inc.
0007D1	Spectrum Signal Processing Inc.
0007E1	WIS Communications Co. Ltd.
0007F1	TeraBurst Networks Inc.
000801	HighSpeed Surfing Inc.
000811	VOIX Corporation
000821	Cisco Systems, Inc
000831	Cisco Systems, Inc
000851	Canadian Bank Note Company, Ltd.
000861	SoftEnergy Co., Ltd.
000871	NORTHDATA Co., Ltd.
000881	DIGITAL HANDS CO.,LTD.
000891	Lyan Inc.
0008A1	CNet Technology Inc.
0008B1	ProQuent Systems
0008C1	Avistar Communications Corporation
0008D1	KAREL INC.
0008E1	Barix AG
0008F1	Voltaire
000901	Shenzhen Shixuntong Information & Technoligy Co
000911	Cisco Systems, Inc
000921	Planmeca Oy
000931	Future Internet, Inc.
000941	Allied Telesis R&D Center K.K.
000951	Apogee Imaging Systems
000961	Switchgear and Instrumentation Ltd
000971	Time Management, Inc.
000981	Newport Networks
000991	GE Fanuc Automation Manufacturing, Inc.
0009A1	Telewise Communications, Inc.
0009B1	Kanematsu Electronics, Ltd.
0009C1	PROCES-DATA A/S
0009D1	SERANOA NETWORKS INC
0009E1	Gemtek Technology Co., Ltd.
0009F1	Yamaki Electric Corporation
000A01	SOHOware, Inc.
000A11	ExPet Technologies, Inc
000A21	Integra Telecom Co. Ltd
000A31	HCV Consulting
000A41	Cisco Systems, Inc
000A51	GyroSignal Technology Co., Ltd.
000A61	Cellinx Systems Inc.
000A71	Avrio Technologies, Inc
000A81	TEIMA Audiotex S.L.
000A91	HemoCue AB
000AA1	V V S Limited
000AB1	GENETEC Corporation
000AC1	Futuretel
000AD1	Mws
000AE1	EG Technology
000AF1	Clarity Design, Inc.
000B01	DAIICHI ELECTRONICS CO., LTD.
000B11	HIMEJI ABC TRADING CO.,LTD.
000B21	G-Star Communications Inc.
000B31	Yantai ZhiYang Scientific and technology industry CO., LTD
000B41	Ing. Büro Dr. Beutlhauser
000B51	Micetek International Inc.
000B61	Friedrich Lütze GmbH & Co. KG
000B71	Litchfield Communications Inc.
000B81	Kaparel Corporation
000B91	Aglaia Gesellschaft für Bildverarbeitung und Kommunikation mbH
000BA1	Fujikura Solutions Ltd.
000BB1	Super Star Technology Co., Ltd.
000BC1	Bay Microsystems, Inc.
000BD1	Aeronix, Inc.
000BE1	Nokia NET Product Operations
000BF1	LAP Laser Applikations
000C01	Abatron AG
000C11	NIPPON DEMPA CO.,LTD.
000C21	Faculty of Science and Technology, Keio University
000C31	Cisco Systems, Inc
000C41	Cisco-Linksys, LLC
000C51	Scientific Technologies Inc.
000C61	AC Tech corporation DBA Advanced Digital
000C71	Wybron, Inc
000C81	Schneider Electric (Australia)
000C91	Riverhead Networks Inc.
000CA1	SIGMACOM Co., LTD.
000CB1	Salland Engineering (Europe) BV
000CC1	Eaton Corporation
000CD1	SFOM Technology Corp.
000CE1	The Open Group
000CF1	Intel Corporation
000D01	P&E Microcomputer Systems, Inc.
000D11	DENTSPLY - Gendex
000D21	WISCORE Inc.
000D31	Compellent Technologies, Inc.
000D41	Siemens AG ICM MP UC RD IT KLF1
000D51	DIVR Systems, Inc.
000D61	Giga-Byte Technology Co., Ltd.
000D71	boca systems
000D81	Pepperl+               # Pepperl+Fuchs GmbH
000D91	Eclipse (HQ Espana) S.L.
000DA1	MIRAE ITS Co.,LTD.
000DB1	Japan Network Service Co., Ltd.
000DC1	SafeWeb Inc
000DD1	Stryker Corporation
000DE1	Control Products, Inc.
000DF1	IONIX INC.
000E01	ASIP Technologies Inc.
000E11	BDT Büro und Datentechnik GmbH & Co.KG
000E21	MTU Friedrichshafen GmbH
000E31	Olympus Soft Imaging Solutions GmbH
000E41	NIHON MECHATRONICS CO.,LTD.
000E51	tecna elettronica srl
000E61	MICROTROL LIMITED
000E71	Gemstar Technology Development Ltd.
000E81	Devicescape Software, Inc.
000E91	Navico Auckland Ltd
000EA1	Formosa Teletek Corporation
000EB1	Newcotech,Ltd
000EC1	MYNAH Technologies
000ED1	Osaka Micro Computer.
000EE1	ExtremeSpeed Inc.
000EF1	EZQUEST INC.
000F01	DIGITALKS INC
000F11	Prodrive B.V.
000F21	Scientific Atlanta, Inc
000F31	Allied Vision Technologies Canada Inc
000F41	Zipher Ltd
000F51	Azul Systems, Inc.
000F61	Hewlett Packard
000F71	Sanmei Electronics Co.,Ltd
000F81	PAL Pacific Inc.
000F91	Aerotelecom Co.,Ltd.
000FA1	Gigabit Systems Inc.
000FB1	Cognio Inc.
000FC1	WAVE Corporation
000FD1	Applied Wireless Identifications Group, Inc.
000FE1	ID DIGITAL CORPORATION
000FF1	nex-G Systems Pte.Ltd
001001	Citel
001011	Cisco Systems			Cisco 75xx
001021	ENCANTO NETWORKS, INC.
001031	OBJECTIVE COMMUNICATIONS, INC.
001041	BRISTOL BABCOCK, INC.
001051	CMICRO CORPORATION
001061	HOSTLINK CORP.
001071	ADVANET INC.
001081	DPS, INC.
001091	NO WIRES NEEDED BV
0010A1	KENDIN SEMICONDUCTOR, INC.
0010B1	FOR-A CO., LTD.
0010C1	OI ELECTRIC CO.,LTD
0010D1	Top Layer Networks, Inc.
0010E1	S.I. TECH, INC.
0010F1	I-O CORPORATION
001101	CET Technologies Pte Ltd
001111	Intel Corporation
001121	Cisco Systems, Inc
001131	UNATECH. CO.,LTD
001141	GoodMan Corporation
001151	Mykotronx
001161	NetStreams, LLC
001171	DEXTER Communications, Inc.
001181	InterEnergy Co.Ltd,
