000009	powerpipes?
000019	APPLIED DYNAMICS INTERNATIONAL
000029	Imc
000039	TOSHIBA CORPORATION
000049	Apricot Ltd.
000059	Hellige GMBH
000069	SGI
000079	Networth Incorporated	[bought by Compaq, used in Netelligent series]
000089	Cayman Systems			Gatorbox
000099	Memorex Telex Corporations
0000A9	Network Systems
0000B9	MCDONNELL DOUGLAS COMPUTER SYS
0000C9	Emulex				Terminal Servers, Print Servers
0000D9	NIPPON TELEGRAPH & TELEPHONE
0000E9	ISICAD, Inc.
0000F9	QUOTRON SYSTEMS INC.
000109	Nagano Japan Radio Co., Ltd.
000119	RTUnet (Australia)
000129	DFI Inc.
000139	Point Multimedia Systems
000149	T.D.T. Transfer Data Test GmbH
000159	S1 Corporation
000169	Celestix Networks Pte Ltd.
000179	WIRELESS TECHNOLOGY, INC.
000189	Refraction Technology, Inc.
000199	HeiSei Electronics
0001A9	BMW AG
0001B9	SKF Condition Monitoring
0001C9	Cisco Systems, Inc
0001D9	Sigma, Inc.
0001E9	Litton Marine Systems B.V.
0001F9	TeraGlobal Communications Corp.
000209	Shenzhen SED Information Technology Co., Ltd.
000219	Paralon Technologies
000229	Adtec Corporation
000239	Visicom
000249	Aviv Infocom Co, Ltd.
000259	Tsann Kuen China (Shanghai)Enterprise Co., Ltd. IT Group
000269	Nadatel Co., Ltd
000279	Control Applications, Ltd.
000289	DNE Technologies
000299	Apex, Inc.
0002A9	RACOM, s.r.o.
0002B9	Cisco Systems, Inc
0002C9	Mellanox Technologies, Inc.
0002D9	Reliable Controls
0002E9	CS Systemes De Securite - C3S
0002F9	MIMOS Berhad
000309	Texcel Technology PLC
000319	Infineon AG
000329	F3, Inc.
000339	Eurologic Systems, Ltd.
000349	Vidicode Datacommunicatie B.V.
000359	DigitalSis
000369	Nippon Antenna Co., Ltd.
000379	Proscend Communications, Inc.
000389	PLANTRONICS, INC.
000399	Dongju Informations & Communications Co., Ltd.
0003A9	AXCENT Media AG
0003B9	Hualong Telecom Co., Ltd.
0003C9	TECOM Co., Ltd.
0003D9	Secheron SA
0003E9	Akara Canada, Inc.
0003F9	Pleiades Communications, Inc.
000409	Cratos Networks
000419	Fibercycle Networks, Inc.
000429	Pixord Corporation
000439	Rosco Entertainment Technology, Inc.
000449	Mapletree Networks
000459	Veristar Corporation
000469	Innocom, Inc.
000479	Radius Co., Ltd.
000489	YAFO Networks, Inc.
000499	Chino Corporation
0004A9	SandStream Technologies, Inc.
0004B9	S.I. Soubou, Inc.
0004C9	Micro Electron Co., Ltd.
0004D9	Titan Electronics, Inc.
0004E9	Infiniswitch Corporation
0004F9	Xtera Communications, Inc.
000509	AVOC Nishimura Ltd.
000519	Siemens Building Technologies AG,
000529	Shanghai Broadan Communication Technology Co., Ltd
000539	A Brand New World in Sweden AB
000549	Salira Optical Network Systems
000559	Intracom S.A.
000569	VMware, Inc.
000579	Universal Control Solution Corp.
000589	National Datacomputer
000599	DRS Test and Energy Management or DRS-TEM
0005A9	Princeton Networks, Inc.
0005B9	Airvana, Inc.
0005C9	LG Innotek Co., Ltd.
0005D9	Techno Valley, Inc.
0005E9	Unicess Network, Inc.
0005F9	TOA Corporation
000609	Crossport Systems
