00000A	OMRON TATEISI ELECTRONICS CO.
00001A	AMD
00002A	Trw
00003A	CHYRON CORPORATION
00004A	ADC CODENOLL TECHNOLOGY CORP.
00005A	SK	(Schneider & Koch in Europe and Syskonnect outside of Europe)
00006A	COMPUTER CONSOLES INC.
00007A	Ardent
00008A	Datahouse Information Systems
00009A	RC COMPUTER A/S
0000AA	Xerox				Xerox machines
0000BA	SIIG, INC.
0000CA	LANcity Cable Modems (now owned by BayNetworks)
0000DA	Atex
0000EA	UPNOD AB
0000FA	MICROSAGE COMPUTER SYSTEMS INC
00010A	CIS TECHNOLOGY INC.
00011A	Hoffmann und Burmeister GbR
00012A	Telematica Sistems Inteligente
00013A	SHELCAD COMMUNICATIONS, LTD.
00014A	Sony Corporation
00015A	Digital Video Broadcasting
00016A	Alitec
00017A	Chengdu Maipu Electric Industrial Co., Ltd.
00018A	ROI COMPUTER AG
00019A	LEUNIG GmbH
0001AA	Airspan Communications, Ltd.
0001BA	IC-Net, Inc.
0001CA	Geocast Network Systems, Inc.
0001DA	WINCOMM Corporation
0001EA	Cirilium Corp.
0001FA	Compaq
00020A	Gefran Spa
00021A	Zuma Networks
00022A	Asound Electronic
00023A	ZSK Stickmaschinen GmbH
00024A	Cisco Systems, Inc
00025A	Catena Networks
00026A	Cocess Telecom Co., Ltd.
00027A	IOI Technology Corporation
00028A	Ambit Microsystems Corporation
00029A	Storage Apps
0002AA	PLcom Co., Ltd.
0002BA	Cisco Systems, Inc
0002CA	EndPoints, Inc.
0002DA	ExiO Communications, Inc.
0002EA	Focus Enhancements
0002FA	DX Antenna Co., Ltd.
00030A	Argus Technologies
00031A	Beijing Broad Telecom Ltd., China
00032A	UniData Communication Systems, Inc.
00033A	Silicon Wave, Inc.
00034A	RIAS Corporation
00035A	Photron Limited
00036A	Mainnet, Ltd.
00037A	Taiyo Yuden Co., Ltd.
00038A	America Online, Inc.
00039A	SiConnect
0003AA	Watlow
0003BA	Oracle Corporation
0003CA	MTS Systems Corp.
0003DA	Takamisawa Cybernetics Co., Ltd.
0003EA	Mega System Technologies, Inc.
0003FA	TiMetra Networks
00040A	Sage Systems
00041A	Ines Test and Measurement GmbH & CoKG
00042A	Wireless Networks, Inc.
00043A	Intelligent Telecommunications, Inc.
00044A	iPolicy Networks, Inc.
00045A	The Linksys Group, Inc.
00046A	Navini Networks
00047A	AXXESSIT ASA
00048A	Temia Vertriebs GmbH
00049A	Cisco Systems, Inc
0004AA	Jetstream Communications
0004BA	KDD Media Will Corporation
0004CA	FreeMs Corp.
0004DA	Relax Technology, Inc.
0004EA	Hewlett Packard
0004FA	NBS Technologies Inc.
00050A	ICS Spa
00051A	3COM EUROPE LTD.
00052A	Ikegami Tsushinki Co., Ltd.
00053A	Willowglen Services Pte Ltd
00054A	Ario Data Networks, Inc.
00055A	Power Dsine Ltd.
00056A	Heuft Systemtechnik GmbH
00057A	Overture Networks
00058A	Netcom Co., Ltd.
00059A	PowerComputing (Mac clone)
0005AA	Moore Industries International Inc.
0005BA	Area Netwoeks, Inc.
0005CA	Hitron Technology, Inc.
0005DA	Apex Automationstechnik
0005EA	Rednix
0005FA	IPOptical, Inc.
00060A	Blue2space
00061A	Zetari Inc.
00062A	Cisco Systems, Inc
00063A	Dura Micro, Inc.
00064A	Honeywell Co., Ltd. (KOREA)
00065A	Strix Systems
00066A	InfiniCon Systems, Inc.
00067A	JMP Systems
00068A	NeuronNet Co. Ltd. R&D Center
00069A	e & Tel
0006AA	VT Miltope
0006BA	Westwave Communications
0006CA	American Computer & Digital Components, Inc. (ACDC)
0006DA	ITRAN Communications Ltd.
0006EA	ELZET80 Mikrocomputer GmbH&Co. KG
0006FA	IP SQUARE Co, Ltd.
00070A	Unicom Automation Co., Ltd.
00071A	Finedigital Inc.
00072A	Innovance Networks
00073A	Inventel Systemes
00074A	Carl Valentin GmbH
00075A	Air Products and Chemicals, Inc.
00076A	NEXTEYE Co., Ltd.
00077A	Infoware System Co., Ltd.
00078A	Mentor Data System Inc.
00079A	Verint Systems Inc
0007AA	Quantum Data Inc.
0007BA	UTStarcom Inc
0007CA	Creatix Polymedia Ges Fur Kommunikaitonssysteme
0007DA	Neuro Telecom Co., Ltd.
0007EA	Massana, Inc.
0007FA	ITT Co., Ltd.
00080A	Espera-Werke GmbH
00081A	Sanrad Intelligence Storage Communications (2000) Ltd.
00082A	Powerwallz Network Security
00085A	IntiGate Inc.
00086A	Securiton Gmbh
00087A	Wipotec GmbH
00088A	Minds@Work
00089A	Alcatel Microelectronics
0008AA	Karam
0008BA	Erskine Systems Ltd
0008CA	TwinHan Technology Co.,Ltd
0008DA	SofaWare Technologies Ltd.
0008EA	Motion Control Engineering, Inc
0008FA	Karl E.Brinkmann GmbH
00090A	SnedFar Technology Co., Ltd.
00091A	Macat Optics & Electronics Co., Ltd.
00092A	MYTECS Co.,Ltd.
00093A	Molex
00094A	Homenet Communications
00095A	RACEWOOD TECHNOLOGY
00096A	Cloverleaf Communications Inc.
00097A	Louis Design Labs.
00098A	EqualLogic Inc
00099A	ELMO COMPANY, LIMITED
0009AA	Data Comm for Business, Inc.
0009BA	MAKU Informationstechik GmbH
0009CA	iMaxNetworks(Shenzhen)Limited.
0009DA	Control Module Inc.
0009EA	YEM Inc.
000A0A	SUNIX Co., Ltd.
000A1A	Imerge Ltd
000A2A	QSI Systems Inc.
000A3A	J-THREE INTERNATIONAL Holding Co., Ltd.
000A4A	Targa Systems Ltd.
000A5A	GreenNET Technologies Co.,Ltd.
000A6A	SVM Microwaves s.r.o.
000A7A	Kyoritsu Electric Co., Ltd.
000A8A	Cisco Systems, Inc
000A9A	Aiptek International Inc
000AAA	AltiGen Communications Inc.
000ABA	Arcon Technology Limited
000ACA	YOKOYAMA SHOKAI CO.,Ltd.
000ADA	Vindicator Technologies
000AEA	ADAM ELEKTRONIK LTD. ŞTI
000AFA	Traverse Technologies Australia
000B0A	dBm Optics
000B1A	Industrial Defender, Inc.
000B2A	HOWTEL Co., Ltd.
000B3A	QuStream Corporation
000B4A	Visimetrics (UK) Ltd
000B5A	HyperEdge
000B6A	Asiarock Technology Limited
000B7A	L-3 Linkabit
000B8A	MITEQ Inc.
000B9A	Shanghai Ulink Telecom Equipment Co. Ltd.
000BAA	Aiphone co.,Ltd
000BBA	Harmonic, Inc
000BCA	DATAVAN TC
000BDA	EyeCross Co.,Inc.
000BEA	Zultys Technologies
000BFA	EXEMYS SRL
000C0A	Guangdong Province Electronic Technology Research Institute
000C1A	Quest Technical Solutions Inc.
000C2A	OCTTEL Communication Co., Ltd.
000C3A	Oxance
000C4A	Cygnus Microsystems (P) Limited
000C5A	IBSmm Embedded Electronics Consulting
000C6A	Mbari
000C7A	DaTARIUS Technologies GmbH
000C8A	Bose Corporation
000C9A	Hitech Electronics Corp.
000CAA	Cubic Transportation Systems Inc
000CBA	Jamex, Inc.
000CCA	HGST a Western Digital Company
000CDA	FreeHand Systems, Inc.
000CEA	aphona Kommunikationssysteme
000CFA	Digital Systems Corp
000D0A	Projectiondesign as
000D1A	Mustek System Inc.
000D2A	Scanmatic AS
000D3A	Microsoft Corp.
000D4A	Steag ETA-Optik
000D5A	Tiesse SpA
000D6A	Redwood Technologies LTD
000D7A	DiGATTO Asia Pacific Pte Ltd
000D8A	Winners Electronics Co., Ltd.
000D9A	INFOTEC LTD
000DAA	S.A.Tehnology co.,Ltd.
000DBA	Océ Document Technologies GmbH
000DCA	Tait Electronics
000DDA	ALLIED TELESIS K.K.
000DEA	Kingtel Telecommunication Corp.
000DFA	Micro Control Systems Ltd.
000E0A	SAKUMA DESIGN OFFICE
000E1A	JPS Communications
000E2A	Private
000E3A	Cirrus Logic
000E4A	Changchun Huayu WEBPAD Co.,LTD
000E5A	TELEFIELD inc.
000E6A	3Com Ltd
000E7A	GemWon Communications Co., Ltd.
000E8A	Avara Technologies Pty. Ltd.
000E9A	BOE TECHNOLOGY GROUP CO.,LTD
000EAA	Scalent Systems, Inc.
000EBA	HANMI SEMICONDUCTOR CO., LTD.
000ECA	WTSS Inc
000EDA	C-TECH UNITED CORP.
000EEA	Shadong Luneng Jicheng Electronics,Co.,Ltd
000EFA	Optoway Technology Incorporation
000F0A	Clear Edge Networks
000F1A	Gaming Support B.V.
000F2A	Cableware Electronics
000F3A	Hisharp
000F4A	Kyushu-kyohan co.,ltd
000F5A	Peribit Networks
000F6A	Nortel Networks
000F7A	BeiJing NuQX Technology CO.,LTD
000F8A	Wideview
000F9A	Synchrony, Inc.
000FAA	Nexus Technologies
000FBA	Tevebox AB
000FCA	A-JIN TECHLINE CO, LTD
000FDA	YAZAKI CORPORATION
000FEA	Giga-Byte Technology Co.,LTD.
000FFA	Optinel Systems, Inc.
00100A	WILLIAMS COMMUNICATIONS GROUP
00101A	PictureTel Corp.
00102A	ZF MICROSYSTEMS, INC.
00103A	DIAMOND NETWORK TECH
00104A	The Parvus Corporation
00105A	3Com				Fast Etherlink XL in a Gateway 2000
00106A	DIGITAL MICROWAVE CORPORATION
00107A	Ambicom (was Tandy?)
00108A	TeraLogic, Inc.
00109A	Netline
0010AA	MEDIA4, INC.
0010BA	MARTINHO-DAVIS SYSTEMS, INC.
0010CA	Telco Systems, Inc.
0010DA	Kollmorgen Corp
0010EA	ADEPT TECHNOLOGY
0010FA	Apple, Inc.
00110A	Hewlett Packard
00111A	ARRIS Group, Inc.
00112A	Niko NV
00113A	SHINBORAM
00114A	KAYABA INDUSTRY Co,.Ltd.
00115A	Ivoclar Vivadent AG
00116A	Domo Ltd
00117A	Singim International Corp.
00118A	Viewtran Technology Limited
00119A	Alkeria srl
0011AA	Uniclass Technology, Co., LTD
0011BA	Elexol Pty Ltd
0011CA	Long Range Systems, Inc.
0011DA	Vivaas Technology Inc.
0011EA	IWICS Inc.
0011FA	Rane Corporation
00120A	Emerson Climate Technologies GmbH
00121A	Techno Soft Systemnics Inc.
00122A	VTech Telecommunications Ltd.
00123A	Posystech Inc., Co.
00124A	Dedicated Devices, Inc.
00125A	Microsoft Corporation
00126A	OPTOELECTRONICS Co., Ltd.
00127A	Sanyu Industry Co.,Ltd.
00128A	ARRIS Group, Inc.
00129A	IRT Electronics Pty Ltd
0012AA	IEE, Inc.
0012BA	FSI Systems, Inc.
0012CA	Mechatronic Brick Aps
0012DA	Cisco Systems, Inc
0012EA	Trane
0012FA	THX LTD
00130A	Nortel Networks
00131A	Cisco Systems, Inc
00132A	Sitronics Telecom Solutions
00133A	VadaTech Inc.
00134A	Engim, Inc.
00135A	Project T&E Limited
00136A	Hach Lange Sarl
00137A	Netvox Technology Co., Ltd.
00138A	QINGDAO GOERTEK ELECTRONICS CO.,LTD.
00139A	K-ubique ID Corp.
0013AA	ALS  & TEC Ltd.
0013BA	ReadyLinks Inc
0013CA	Pico Digital
0013DA	Diskware Co., Ltd
0013EA	Kamstrup A/S
0013FA	LifeSize Communications, Inc
00140A	WEPIO Co., Ltd.
00141A	DEICY CORPORATION
00142A	Elitegroup Computer Systems Co.,Ltd.
00143A	RAYTALK INTERNATIONAL SRL
00144A	Taiwan Thick-Film Ind. Corp.
00145A	Neratec Solutions AG
00146A	Cisco Systems, Inc
00147A	Eubus GmbH
00148A	Elin Ebg Traction Gmbh
00149A	ARRIS Group, Inc.
0014AA	Ashly Audio, Inc.
0014BA	Carvers SA de CV
0014CA	Key Radio Systems Limited
0014DA	Huntleigh Healthcare
0014EA	S Digm Inc. (Safe Paradigm Inc.)
0014FA	AsGa S.A.
00150A	Sonoa Systems, Inc
00151A	Hunter Engineering Company
00152A	Nokia GmbH
00153A	Shenzhen Syscan Technology Co.,Ltd.
00154A	WANSHIH ELECTRONIC CO., LTD
00155A	DAINIPPON PHARMACEUTICAL CO., LTD.
00156A	DG2L Technologies Pvt. Ltd.
00157A	Telefin S.p.A.
00158A	SURECOM Technology Corp.
