00000B	MATRIX CORPORATION
00001B	Novell (now Eagle Technology)
00002B	CRISP AUTOMATION, INC
00003B	Hyundai/	# Hyundai/Axil			Sun clones
00004B	APT
00005B	Eltec
00006B	MIPS
00007B	Research Machines
00008B	Infotron
00009B	INFORMATION INTERNATIONAL, INC
0000AB	LOGIC MODELING CORPORATION
0000BB	TRI-DATA Systems Inc.		Netway products, 3274 emulators
0000CB	COMPU-SHACK ELECTRONIC GMBH
0000DB	British Telecommunications plc
0000EB	MATSUSHITA COMM. IND. CO. LTD.
0000FB	Rechner zur Kommunikation
00010B	Space CyberLink, Inc.
00011B	Unizone Technologies, Inc.
00012B	TELENET Co., Ltd.
00013B	BNA SYSTEMS
00014B	Ennovate Networks, Inc.
00015B	ITALTEL S.p.A/RF-UP-I
00016B	LightChip, Inc.
00017B	Heidelberger Druckmaschinen AG
00018B	NetLinks Co., Ltd.
00019B	Kyoto Microcomputer Co., Ltd.
0001AB	Main Street Networks
0001BB	Frequentis
0001CB	Evr
0001DB	Freecom Technologies GmbH
0001EB	C-COM Corporation
0001FB	DoTop Technology, Inc.
00020B	Native Networks, Inc.
00021B	Kollmorgen-Servotronix
00022B	SAXA, Inc.
00023B	Ericsson
00024B	Cisco Systems, Inc
00025B	Cambridge Silicon Radio
00026B	BCM Computers Co., Ltd.
00027B	Amplify Net, Inc.
00028B	VDSL Systems OY
00029B	Kreatel Communications AB
0002AB	CTC Union Technologies Co., Ltd.
0002BB	Continuous Computing Corp
0002CB	TriState Ltd.
0002DB	Netsec
0002EB	Pico Communications
0002FB	Baumuller Aulugen-Systemtechnik GmbH
00030B	Hunter Technology, Inc.
00031B	Cellvision Systems, Inc.
00032B	GAI Datenfunksysteme GmbH
00033B	TAMI Tech Co., Ltd.
00034B	Nortel Networks
00035B	BridgeWave Communications
00036B	Cisco Systems, Inc
00037B	IDEC IZUMI Corporation
00038B	PLUS-ONE I&T, Inc.
00039B	NetChip Technology, Inc.
0003AB	Bridge Information Systems
0003BB	Signal Communications Limited
0003CB	Nippon Systems Development Co., Ltd.
0003DB	Apogee Electronics Corp.
0003EB	Atrica
0003FB	ENEGATE Co.,Ltd.
00040B	3COM EUROPE LTD.
00041B	Bridgeworks Ltd.
00042B	IT Access Co., Ltd.
00043B	Lava Computer Mfg., Inc.
00044B	Nvidia
00045B	Techsan Electronics Co., Ltd.
00046B	Palm Wireless, Inc.
00047B	Schlumberger
00048B	Poscon Corporation
00049B	Cisco Systems, Inc
0004AB	Comverse Network Systems, Inc.
0004BB	Bardac Corporation
0004CB	Tdsoft Communication, Ltd.
0004DB	Tellus Group Corp.
0004EB	Paxonet Communications, Inc.
0004FB	Commtech, Inc.
00050B	SICOM Systems, Inc.
00051B	Magic Control Technology Corporation
00052B	HORIBA, Ltd.
00053B	Harbour Networks Ltd., Co. Beijing
00054B	Eaton Automation AG
00055B	Charles Industries, Ltd.
00056B	C.P. Technology Co., Ltd.
00057B	Chung Nam Electronic Co., Ltd.
00058B	IPmental, Inc.
00059B	Cisco Systems, Inc
0005AB	Cyber Fone, Inc.
0005BB	Myspace AB
0005CB	ROIS Technologies, Inc.
0005DB	PSI Nentec GmbH
0005EB	Blue Ridge Networks, Inc.
0005FB	ShareGate, Inc.
00060B	Artesyn Embedded Technologies
00061B	Notebook Development Lab.  Lenovo Japan Ltd.
00062B	INTRASERVER TECHNOLOGY
00063B	Arcturus Networks Inc.
00064B	Alexon Co., Ltd.
00065B	Dell Inc.
00066B	Sysmex Corporation
00067B	Toplink C&C Corporation
00068B	AirRunner Technologies, Inc.
00069B	AVT Audio Video Technologies GmbH
0006AB	W-Link Systems, Inc.
0006BB	ATI Technologies Inc.
0006CB	Jotron Electronics A/S
0006DB	ICHIPS Co., Ltd.
0006EB	Global Data
0006FB	Hitachi Printing Solutions, Ltd.
00070B	Novabase SGPS, SA
00071B	CDVI Americas Ltd
00072B	Jung Myung Telecom Co., Ltd.
00073B	Tenovis GmbH & Co KG
00074B	Daihen Corporation
00075B	Gibson Guitars
00076B	Stralfors AB
00077B	Millimetrix Broadband Networks
00078B	Wegener Communications, Inc.
00079B	Aurora Networks
0007AB	Samsung Electronics Co.,Ltd
0007BB	Candera Inc.
0007CB	FREEBOX SAS
0007DB	Kirana Networks, Inc.
0007EB	Cisco Systems, Inc
0007FB	Giga Stream UMTS Technologies GmbH
00080B	Birka BPA Informationssystem AB
00081B	Windigo Systems
00082B	Wooksung Electronics, Inc.
00085B	Hanbit Electronics Co., Ltd.
00086B	Mipsys
00087B	RTX Telecom A/S
00088B	Tropic Networks Inc.
00089B	ICP Electronics Inc.
0008AB	EnerLinx.com, Inc.
0008BB	NetExcell
0008CB	Zeta Broadband Inc.
0008DB	Corrigent Systems
0008EB	ROMWin Co.,Ltd.
0008FB	SonoSite, Inc.
00090B	MTL  Instruments PLC
00091B	Digital Generation Inc.
00092B	iQstor Networks, Inc.
00093B	HYUNDAI NETWORKS INC.
00094B	FillFactory NV
00095B	Netgear
00096B	IBM Corp
00097B	Cisco Systems, Inc
00098B	Entropic Communications, Inc.
00099B	Western Telematic Inc.
0009AB	Netcontrol Oy
0009BB	MathStar, Inc.
0009CB	Hbrain
0009DB	Espace
0009EB	HuMANDATA LTD.
0009FB	Philips Patient Monitoring
000A0B	Sealevel Systems, Inc.
000A1B	Stream Labs
000A2B	Etherstuff
000A3B	GCT Semiconductor, Inc
000A4B	DataPower Technology, Inc.
000A5B	Power-One as
000A6B	Tadiran Telecom Business Systems LTD
000A7B	Cornelius Consult
000A8B	Cisco Systems, Inc
000A9B	TB Group Inc
000AAB	Toyota Technical Development Corporation
000ABB	Taiwan Secom Co,. Ltd
000ACB	XPAK MSA Group
000ADB	SkyPilot Network, Inc
000AEB	TP-LINK TECHNOLOGIES CO.,LTD.
000AFB	Ambri Limited
000B0B	Corrent Corporation
000B1B	Systronix, Inc.
000B2B	HOSTNET CORPORATION
000B3B	devolo AG
000B4B	VISIOWAVE SA
000B5B	Rincon Research Corporation
000B6B	Wistron Neweb Corporation
000B7B	Test-Um Inc.
000B8B	KERAJET, S.A.
000B9B	Sirius System Co, Ltd.
000BAB	Advantech Technology (CHINA) Co., Ltd.
000BBB	Etin Systems Co., Ltd
000BCB	Fagor Automation , S. Coop
000BDB	Dell Inc.
000BEB	Systegra AG
000BFB	D-NET International Corporation
000C0B	Broadbus Technologies
000C1B	ORACOM Co, Ltd.
000C2B	ELIAS Technology, Inc.
000C3B	Orion Electric Co., Ltd.
000C4B	Cheops Elektronik
