00000D	FIBRONICS LTD.
00001D	Cabletron
00002D	CHROMATICS INC
00003D	AT&T
00004D	DCI CORPORATION
00005D	Rce
00006D	Case
00007D	Cray
00008D	Cryptek Inc.
00009D	LOCUS COMPUTING CORPORATION
0000AD	BRUKER INSTRUMENTS INC.
0000BD	MITSUBISHI CABLE COMPANY
0000CD	Industrial Research Limited
0000DD	Gould
0000ED	April
0000FD	High Level Hardware (Orion, UK)
00010D	Teledyne DALSA Inc.
00011D	Centillium Communications
00012D	Komodo Technology
00013D	RiscStation Ltd.
00014D	Shin Kin Enterprises Co., Ltd
00015D	Oracle Corporation
00016D	CarrierComm Inc.
00017D	ThermoQuest
00018D	AudeSi Technologies
00019D	E-Control Systems, Inc.
0001AD	Coach Master International  d.b.a. CMI Worldwide, Inc.
0001BD	Peterson Electro-Musical Products, Inc.
0001CD	Artem
0001DD	Avail Networks
0001ED	SETA Corp.
0001FD	Digital Voice Systems, Inc.
00020D	Micronpc.com
00021D	Data General Communication Ltd.
00022D	Agere Systems
00023D	Cisco Systems, Inc
00024D	Mannesman Dematic Colby Pty. Ltd.
00025D	Calix Networks
00026D	Adept Telecom
00027D	Cisco Systems, Inc
00028D	Movita Technologies, Inc.
00029D	Merix Corp.
0002AD	HOYA Corporation
0002BD	Bionet Co., Ltd.
0002CD	TeleDream, Inc.
0002DD	Bromax Communications, Ltd.
0002ED	DXO Telecom Co., Ltd.
0002FD	Cisco Systems, Inc
00030D	Uniwill Computer Corp.
00031D	Taiwan Commate Computer, Inc.
00032D	IBASE Technology, Inc.
00033D	ILSHin Lab
00034D	Chiaro Networks, Ltd.
00035D	Bosung Hi-Net Co., Ltd.
00036D	Runtop, Inc.
00037D	Stellcom
00038D	PCS Revenue Control Systems, Inc.
00039D	Qisda Corporation
0003AD	Emerson Energy Systems AB
0003BD	OmniCluster Technologies, Inc.
0003CD	Clovertech, Inc.
0003DD	Comark Interactive Solutions
0003ED	Shinkawa Electric Co., Ltd.
0003FD	Cisco Systems, Inc
00040D	Avaya Inc
00041D	Corega of America
00042D	Sarian Systems, Ltd.
00043D	INDEL AG
00044D	Cisco Systems, Inc
00045D	BEKA Elektronik
00046D	Cisco Systems, Inc
00047D	Pelco
00048D	Teo Technologies, Inc
00049D	Ipanema Technologies
0004AD	Malibu Networks
0004BD	ARRIS Group, Inc.
0004CD	Extenway Solutions Inc
0004DD	Cisco Systems, Inc
0004ED	Billion Electric Co., Ltd.
0004FD	Japan Control Engineering Co., Ltd.
00050D	Midstream Technologies, Inc.
00051D	Airocon, Inc.
00052D	Zoltrix International Limited
00053D	Agere Systems
00054D	Brans Technologies, Inc.
00055D	D-LINK SYSTEMS, INC.
00056D	Pacific Corporation
00057D	Sun Communications, Inc.
00058D	Lynx Photonic Networks, Inc.
00059D	Daniel Computing Systems, Inc.
0005AD	Topspin Communications, Inc.
0005BD	ROAX BV
0005CD	D&M Holdings Inc.
0005DD	Cisco Systems, Inc
0005ED	Technikum Joanneum GmbH
0005FD	PacketLight Networks Ltd.
00060D	Hewlett-	# Hewlett-Packard			JetDirect token-ring interfaces
00061D	MIP Telecom, Inc.
00062D	TouchStar Technologies, L.L.C.
00063D	Microwave Data Systems Inc.
00064D	Sencore
00065D	Heidelberg Web Systems
00066D	Compuprint S.P.A.
00067D	Takasago Ltd.
00068D	SEPATON, Inc.
00069D	Petards Ltd
0006AD	KB Electronics Ltd.
0006BD	BNTECHNOLOGY Co., Ltd.
0006CD	Leaf Imaging Ltd.
0006DD	AT & T Laboratories - Cambridge Ltd
0006ED	Inara Networks
0006FD	Comjet Information Systems Corp.
00070D	Cisco				2511 Token Ring
00071D	Satelsa Sistemas Y Aplicaciones De Telecomunicaciones, S.A.
00072D	CNSystems
00073D	Nanjing Postel Telecommunications Co., Ltd.
00074D	Zebra Technologies Corp.
00075D	Celleritas Inc.
00076D	Flexlight Networks
00077D	Cisco Systems, Inc
00078D	NetEngines Ltd.
