00000E	Fujitsu
00001E	TELSIST INDUSTRIA ELECTRONICA
00002E	SOCIETE EVIRA
00003E	Simpact
00004E	AMPEX CORPORATION
00005E	U.S. Department of Defense (IANA)
00006E	Artisoft, Inc.
00007E	NetFRAME multiprocessor network servers
00008E	Solbourne(?), Jupiter(?) (I've had confirming mail on Solbourne)
00009E	MARLI S.A.
0000AE	Dassault Automatismes et Telecommunications
0000BE	THE NTI GROUP
0000CE	MEGADATA CORP.
0000DE	Unigraph
0000EE	Network Designers Limited [also KNX Ltd, a former division]
0000FE	ANNAPOLIS MICRO SYSTEMS
00010E	Bri-Link Technologies Co., Ltd
00011E	Precidia Technologies, Inc.
00012E	PC Partner Ltd.
00013E	Ascom Tateco AB
00014E	WIN Enterprises, Inc.
00015E	BEST TECHNOLOGY CO., LTD.
00016E	Conklin Corporation
00017E	ADTEK System Science Co., Ltd.
00018E	Logitec Corporation
00019E	ESS Technology, Inc.
0001AE	Trex Enterprises
0001BE	Gigalink Co., Ltd.
0001CE	Custom Micro Products, Ltd.
0001DE	Trango Systems, Inc.
0001EE	Comtrol Europe, Ltd.
0001FE	DIGITAL EQUIPMENT CORPORATION
00020E	ECI Telecom Ltd.
00021E	SIMTEL S.R.L.
00022E	TEAC Corp. R& D
00023E	Selta Telematica S.p.a
00024E	Datacard Group
00025E	High Technology Ltd
00026E	NeGeN Access, Inc.
00027E	Cisco Systems, Inc
00028E	Rapid 5 Networks, Inc.
00029E	Information Equipment Co., Ltd.
0002AE	Scannex Electronics Ltd.
0002BE	Totsu Engineering, Inc.
0002CE	FoxJet, Inc.
0002DE	Astrodesign, Inc.
0002EE	Nokia Danmark A/S
0002FE	Viditec, Inc.
00030E	Core Communications Co., Ltd.
00031E	Optranet, Inc.
00032E	Scope Information Management, Ltd.
00033E	Tateyama System Laboratory Co., Ltd.
00034E	Pos Data Company, Ltd.
00035E	Metropolitan Area Networks, Inc.
00036E	Nicon Systems (Pty) Limited
00037E	PORTech Communications, Inc.
00038E	Atoga Systems, Inc.
00039E	Tera System Co., Ltd.
0003AE	Allied Advanced Manufacturing Pte, Ltd.
0003BE	Netility
0003CE	ETEN Technologies, Inc.
0003DE	OTC Wireless
0003EE	MKNet Corporation
0003FE	Cisco Systems, Inc
00040E	AVM GmbH
00041E	Shikoku Instrumentation Co., Ltd.
