00000F	Next
00001F	Cryptall Communications Corp.
00002F	TIMEPLEX INC.
00003F	Syntrex Inc
00004F	Logicraft 386-Ware P.C. Emulator
00005F	Sumitomo
00006F	Madge Networks Ltd.		Token-ring adapters
00007F	Linotype-Hell AG		Linotronic typesetters
00008F	Raytheon
00009F	Ameristar Technology
0000AF	Nuclear Data			Acquisition Interface Modules (AIM)
0000BF	SYMMETRIC COMPUTER SYSTEMS
0000CF	HAYES MICROCOMPUTER PRODUCTS
0000DF	BELL & HOWELL PUB SYS DIV
0000EF	Alantec				(now owned by ForeSystems)
0000FF	Camtec Electronics (UK) Ltd.
00010F	Brocade Communications Systems, Inc.
00011F	RC Networks, Inc.
00012F	Twinhead International Corp
00013F	Neighbor World Co., Ltd.
00014F	Adtran Inc
00015F	DIGITAL DESIGN GmbH
00016F	Inkel Corp.
00017F	Experience Music Project
00018F	Kenetec, Inc.
00019F	Readynet
0001AF	Artesyn Embedded Technologies
0001BF	Teleforce Co., Ltd.
0001CF	Alpha Data Parallel Systems, Ltd.
0001DF	ISDN Communications, Ltd.
0001EF	Camtel Technology Corp.
0001FF	Data Direct Networks, Inc.
00020F	Aatr
00021F	Aculab PLC
00022F	P-Cube, Ltd.
00023F	COMPAL ELECTRONICS, INC.
00024F	IPM Datacom S.R.L.
00025F	Nortel Networks
00026F	Senao International Co., Ltd.
00027F	ask-technologies.com
00028F	Globetek, Inc.
00029F	L-3 Communication Aviation Recorders
0002AF	TeleCruz Technology, Inc.
0002BF	dotRocket, Inc.
0002CF	ZyGate Communications, Inc.
0002DF	Net Com Systems, Inc.
0002EF	CCC Network Systems Group Ltd.
0002FF	Handan BroadInfoCom
00030F	Digital China (Shanghai) Networks Ltd.
00031F	Condev Ltd.
00032F	Global Sun Technology, Inc.
00033F	BigBand Networks, Ltd.
00034F	Sur-Gard Security
00035F	Prüftechnik Condition Monitoring GmbH & Co. KG
00036F	Telsey SPA
00037F	Atheros Communications, Inc.
00038F	Weinschel Corporation
00039F	Cisco Systems, Inc
0003AF	Paragea Communications
0003BF	Centerpoint Broadband Technologies, Inc.
0003CF	Muxcom, Inc.
0003DF	Desana Systems
0003EF	Oneline AG
0003FF	Microsoft Corporation
00040F	Asus Network Technologies, Inc.
00041F	Sony Interactive Entertainment Inc.
00042F	International Communications Products, Inc.
00043F	ESTeem Wireless Modems, Inc
00044F	Schubert System Elektronik Gmbh
00045F	Avalue Technology, Inc.
00046F	Digitel S/A Industria Eletronica
00047F	Chr. Mayr GmbH & Co. KG
00048F	TD Systems Corporation
00049F	Freescale Semiconductor
0004AF	Digital Fountain, Inc.
0004BF	VersaLogic Corp.
0004CF	Seagate Technology
0004DF	Teracom Telematica Ltda.
0004EF	Polestar Corp.
0004FF	Acronet Co., Ltd.
00050F	TanakaS/               # Tanaka S/S Ltd.
00051F	Taijin Media Co., Ltd.
00052F	Leviton Network Solutions
00053F	VisionTek, Inc.
00054F	Private
00055F	Cisco Systems, Inc
00056F	Innomedia Technologies Pvt. Ltd.
00057F	Acqis Technology
00058F	CLCsoft co.
00059F	Yotta Networks, Inc.
0005AF	InnoScan Computing A/S
0005BF	JustEzy Technology, Inc.
0005CF	Thunder River Technologies, Inc.
0005DF	Electronic Innovation, Inc.
0005EF	ADOIR Digital Technology
0005FF	SNS Solutions, Inc.
00060F	Narad Networks Inc
00061F	Vision Components GmbH
00062F	Pivotech Systems Inc.
00063F	Everex Communications Inc.
00064F	PRO-NETS Technology Corporation
00065F	ECI Telecom Ltd.
00066F	Korea Data Systems
00067F	Digeo, Inc.
00068F	Telemonitor, Inc.
00069F	Kuokoa Networks
0006AF	Xalted Networks
0006BF	Accella Technologies Co., Ltd.
0006CF	Thales Avionics In-Flight Systems, LLC
0006DF	AIDONIC Corporation
0006EF	Maxxan Systems, Inc.
0006FF	Sheba Systems Co., Ltd.
00070F	Fujant, Inc.
00071F	European Systems Integration
00072F	Intransa, Inc.
00073F	Woojyun Systec Co., Ltd.
00074F	Cisco Systems, Inc
00075F	VCS Video Communication Systems AG
00076F	Synoptics Limited
00077F	J Communications Co., Ltd.
00078F	Emkay Innovative Products
00079F	Action Digital Inc.
0007AF	Red Lion Controls, LP
0007BF	Armillaire Technologies, Inc.
0007CF	Anoto AB
0007DF	Vbrick Systems Inc.
0007EF	Lockheed Martin Tactical Systems
0007FF	Gluon Networks
00080F	Proximion Fiber Optics AB
00081F	Pou Yuen Tech Corp. Ltd.
00082F	Cisco Systems, Inc
00084F	Qualstar Corporation
00085F	Picanol N.V.
00086F	Resources Computer Network Ltd.
00087F	SPAUN electronic GmbH & Co. KG
00088F	ADVANCED DIGITAL TECHNOLOGY
00089F	EFM Networks
0008AF	Novatec Corporation
0008BF	Aptus Elektronik AB
0008CF	Nippon Koei Power Systems Co., Ltd.
0008DF	Alistel Inc.
0008EF	DIBAL,S.A.
0008FF	Trilogy Communications Ltd
00090F	Fortinet Inc.
00091F	A&D Co., Ltd.
00092F	Akom Technology Corporation
00093F	Double-Win Enterpirse CO., LTD
00094F	elmegt GmbH & Co. KG
00095F	Telebyte, Inc.
00096F	Beijing Zhongqing Elegant Tech. Corp.,Limited
00097F	Vsecure 2000 LTD.
00098F	Cetacean Networks
00099F	VIDEX INC.
0009AF	e-generis
0009BF	Nintendo Co., Ltd.
0009CF	iAd GmbH
0009DF	Vestel Komunikasyon Sanayi ve Ticaret A.S.
0009EF	Vocera Communications
0009FF	X.net 2000 GmbH
000A0F	Ilryung Telesys, Inc
000A1F	ART WARE Telecommunication Co., Ltd.
000A2F	Artnix Inc.
000A3F	Data East Corporation
000A4F	Brain Boxes Limited
000A5F	almedio inc.
000A6F	ZyFLEX Technologies Inc
000A7F	Teradon Industries, Inc
000A8F	Aska International Inc.
000A9F	Pannaway Technologies, Inc.
000AAF	Pipal Systems
000ABF	HIROTA SS
000ACF	PROVIDEO Multimedia Co. Ltd.
000ADF	Gennum Corporation
000AEF	OTRUM ASA
000AFF	Kilchherr Elektronik AG
000B0F	Bosch Rexroth
000B1F	I CON Computer Co.
000B2F	bplan GmbH
000B3F	Anthology Solutions Inc.
000B4F	Verifone
000B5F	Cisco Systems, Inc
000B6F	Media Streaming Networks Inc
000B7F	Align Engineering LLC
000B8F	AKITA ELECTRONICS SYSTEMS CO.,LTD.
000B9F	Neue ELSA GmbH
000BAF	WOOJU COMMUNICATIONS Co,.Ltd
000BBF	Cisco Systems, Inc
000BCF	AGFA NDT INC.
000BDF	Shenzhen RouterD Networks Limited
000BEF	Code Corporation
000BFF	Berkeley Camera Engineering
000C0F	Techno-One Co., Ltd
000C1F	Glimmerglass Networks
000C2F	SeorimTechnology Co.,Ltd.
000C3F	Cogent Defence & Security Networks,
000C4F	UDTech Japan Corporation
000C5F	Avtec, Inc.
000C6F	Amtek system co.,LTD.
000C7F	synertronixx GmbH
000C8F	Nergal s.r.l.
000C9F	NKE Corporation
000CAF	TRI TERM CO.,LTD.
000CBF	Holy Stone Ent. Co., Ltd.
000CCF	Cisco Systems, Inc
000CDF	PULNiX America, Inc
000CEF	Open Networks Engineering Ltd
000CFF	MRO-TEK LIMITED
000D0F	Finlux Ltd
000D1F	AV Digital
000D2F	AIN Comm.Tech.Co., LTD
000D3F	VTI Instruments Corporation
000D4F	Kenwood Corporation
000D5F	Minds Inc
000D6F	Ember Corporation
000D7F	MIDAS  COMMUNICATION TECHNOLOGIES PTE LTD ( Foreign Branch)
000D8F	King Tsushin Kogyo Co., LTD.
000D9F	RF Micro Devices
000DAF	Plexus Corp (UK) Ltd
000DBF	TekTone Sound & Signal Mfg., Inc.
000DCF	Cidra Corp.
000DDF	Japan Image & Network Inc.
000DEF	Soc. Coop. Bilanciai
000DFF	CHENMING MOLD INDUSTRY CORP.
000E0F	Ermme
000E1F	TCL Networks Equipment Co., Ltd.
000E2F	Roche Diagnostics GmbH
000E3F	Soronti, Inc.
000E4F	Trajet GmbH
000E5F	activ-net GmbH & Co. KG
000E6F	IRIS Corporation Berhad
000E7F	Hewlett Packard
000E8F	Sercomm Corp.
000E9F	TEMIC SDS GmbH
000EAF	Castel
000EBF	Remsdaq Limited
000ECF	PROFIBUS Nutzerorganisation e.V.
000EDF	PLX Technology
000EEF	Private
000EFF	Megasolution,Inc.
000F0F	Real ID Technology Co., Ltd.
000F1F	Dell Inc.
000F2F	W-LINX TECHNOLOGY CO., LTD.
000F3F	Big Bear Networks
000F4F	PCS Systemtechnik GmbH
000F5F	Nicety Technologies Inc. (NTS)
000F6F	FTA Communication Technologies
000F7F	UBSTORAGE Co.,Ltd.
000F8F	Cisco Systems, Inc
000F9F	ARRIS Group, Inc.
000FAF	Dialog Inc.
000FBF	DGT Sp. z o.o.
000FCF	DataWind Research
000FDF	SOLOMON Technology Corp.
000FEF	ThalesE-               # Thales e-Transactions GmbH
000FFF	Control4
00100F	INDUSTRIAL CPU SYSTEMS
00101F	Cisco Systems			Catalyst 2901
00102F	Cisco Systems			Cisco 5000
00103F	TOLLGRADE COMMUNICATIONS, INC.
00104F	Oracle Corporation
00105F	ZODIAC DATA SYSTEMS
00106F	TRENTON TECHNOLOGY INC.
00107F	CRESTRON ELECTRONICS, INC.
00108F	RAPTOR SYSTEMS
00109F	PAVO, INC.
0010AF	TAC SYSTEMS, INC.
0010BF	InterAir Wireless
0010CF	FIBERLANE COMMUNICATIONS
0010DF	RISE COMPUTER INC.
0010EF	DBTEL INCORPORATED
0010FF	Cisco Systems, Inc
00110F	netplat,Inc.
00111F	Doremi Labs, Inc.
00112F	ASUSTek COMPUTER INC.
00113F	Alcatel DI
00114F	US Digital Television, Inc
00115F	ITX Security Co., Ltd.
00116F	Netforyou Co., LTD.
00117F	Neotune Information Technology Corporation,.LTD
00118F	EUTECH INSTRUMENTS PTE. LTD.
00119F	Nokia Danmark A/S
0011AF	Medialink-i,Inc
